"Reference","Package","Datasheet","Qty","Value","MPN","MPN_alt","LCSC Part #"
"A1","SMD,P=0.5mm,Surface Mount，Right Angle","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2012102315_LOTES-ADDR0069-P009A_C962126.pdf","1","LattePanda_Mu","ADDR0069-P009A","","C962126"
"BT1","SMD","https://www.lcsc.com/datasheet/lcsc_datasheet_2405081637_Q-J-CR1220-2_C70381.pdf","1","Battery_Cell","CR1220-2","S8411-45R","C70381"
"C17,C18,C19,C20,C21,C22,C23,C24,C25,C28,C29,C70,C71,C78,C79,C84,C85,C102,C104,C112,C114,C122,C124,C132,C134,C142,C144,C152,C154,C203,C204,C207,C209,C303,C304,C307,C309,C403,C407,C413,C417,C423,C427,C433,C437,C443,C447,C453,C457,C463,C467,C483,C487","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1809272047_Murata-Electronics-GRM155R71H104KE14D_C77020.pdf","53","100nF/50V","GRM155R71H104KE14D","","C77020"
"C30,C32,C74,C75,C76,C77,C80,C81,C82,C83,C88,C91,C405,C406,C408,C409,C415,C416,C418,C419,C425,C426,C428,C429,C435,C436,C438,C439,C445,C446,C448,C449,C455,C456,C458,C459,C465,C466,C468,C469,C485,C486,C488,C489","0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A226MP8NUNE_C86295.pdf","44","22uF/10V","CL10A226MP8NUNE","","C86295"
"C64,C65,C67,C68,C92,C401,C402,C411,C412,C421,C422,C431,C432,C441,C442,C451,C452,C461,C462,C481,C482","0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2208111030_Samsung-Electro-Mechanics-CL10A226MO7JZNC_C2762594.pdf","21","22uF/16V","CL10A226MO7JZNC","","C2762594"
"C66,C69","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Samsung-Electro-Mechanics-CL05A105KO5NNNC_C29266.pdf","2","1uF/16V","CL05A105KO5NNNC","","C29266"
"C86,C93","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2309061403_Samsung-Electro-Mechanics-CL05A226MQ5QUNC_C105226.pdf","2","22uF/6.3V","CL05A226MQ5QUNC","","C105226"
"C87,C89,C90,C94,C95,C96,C97,C98,C99,C100","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811011928_Walsin-Tech-Corp-0402B104K160CT_C83056.pdf","10","0.1uF/16V","0402B104K160CT","","C83056"
"C101,C103,C111,C113,C121,C123,C131,C133,C141,C143,C151,C153,C208,C308","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312201433_Samsung-Electro-Mechanics-CL05A106MP5NUNC_C315248.pdf","14","10uF/10V","CL05A106MP5NUNC","","C315248"
"C105,C106,C115,C116,C125,C126,C135,C136,C145,C146,C155,C156,C201,C202,C301,C302","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2209081730_Murata-Electronics-GRM155R61H224KE01D_C5159775.pdf","16","220nF/50V","GRM155R61H224KE01D","","C5159775"
"C205,C206,C305,C306","SMD,D6.3xL7.7mm","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2208310930_Capxon-International-Elec-PM101M025E077PTR_C2858382.pdf","4","100uF/25V","VT1E101M-CRE54","PM101M025E077PTR","C2886300"
"C210,C310","SMD,D6.3xL7.7mm","https://my.mouser.com/datasheet/2/231/156315576075-1624351.pdf","2","470uF/10V","VZT471M1ATR-0607","","C384654"
"D1,D2,D3,D5,D6,D21,D25,D79,D80","0402","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2108131930_TECH-PUBLIC-ESD5V0B03-1006_C521894.pdf","9","ESD5V0B03","ESD5V0B03-1006","","C521894"
"D4,D26,D27","SOD-323","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf","3","1N5819WS","1N5819WS","","C2828425"
